Show #,date,location,venue,setlist
943,"January 17, 2014"," Auckland, NZ",Western Springs,"['Release', 'Go', 'Corduroy', 'Lightning Bolt', 'Mind Your Manners', 'Given To Fly', 'Brain Of J.', 'Even Flow', 'Sirens', 'Let The Records Play', 'Infallible', 'Black', 'Unthought Known', 'Save You', 'Habit', 'Better Man', 'Save it for Later', 'Footsteps', 'Elderly Woman Behind The Counter In A Small Town', 'Nothingman', 'Daughter', 'Why Go', 'State Of Love And Trust', 'Porch', ""Baba O'Riley""]"
944,"January 19, 2014"," Gold Coast, AU",Metricon & Carrara Parklands,"['Do The Evolution', 'Animal', 'Hail, Hail', 'Got Some', 'Mind Your Manners', 'Given To Fly', 'Big Wave', 'Corduroy', 'Lightning Bolt', 'Even Flow', 'Unthought Known', 'Sirens', 'Down', 'Lukin', 'Not For You', 'Modern Girl', 'Let The Records Play', 'Rearviewmirror', 'Yellow Moon', 'Elderly Woman Behind The Counter In A Small Town', 'Mother', 'Daughter', 'Androgynous Mind', 'Jeremy', 'Sad', 'Better Man', 'Save it for Later', 'Porch', 'Alive', ""Rockin' In The Free World""]"
945,"January 24, 2014"," Melbourne, AU",Flemington,"['Why Go', 'Do The Evolution', 'Save You', 'Getaway', 'Got Some', 'Mind Your Manners', 'Low Light', 'Setting Forth', 'Corduroy', 'Lightning Bolt', 'Dissident', 'Even Flow', 'Sirens', 'Elderly Woman Behind The Counter In A Small Town', 'Jeremy', 'Given To Fly', 'Wasted Reprise', 'Life Wasted', 'Better Man', 'Save it for Later', 'Pendulum', 'Nothingman', 'Daughter', 'Another Brick In The Wall (Part 2)', 'Go', 'Porch', 'Kick Out The Jams', 'Alive']"
946,"January 26, 2014"," Sydney, AU",Sydney Showgrounds,"['Do The Evolution', 'Mind Your Manners', 'Animal', 'Hail, Hail', 'Getaway', 'Corduroy', 'Lightning Bolt', 'In Hiding', 'Even Flow', 'Severed Hand', 'Sirens', 'State Of Love And Trust', 'Unthought Known', 'Insignificance', 'Let The Records Play', 'Spin The Black Circle', 'Rearviewmirror', 'Footsteps', 'Elderly Woman Behind The Counter In A Small Town', 'Chloe Dancer', 'Crown Of Thorns', 'Throw Your Arms Around Me', 'Better Man', 'Save it for Later', 'Porch', 'Jeremy', 'Black', 'Alive', 'Kick Out The Jams', ""Rockin' In The Free World""]"
947,"January 31, 2014"," Adelaide, AU",Bonython Park,"['Why Go', 'Do The Evolution', 'Corduroy', 'Lightning Bolt', 'Mind Your Manners', 'Blood', 'Elderly Woman Behind The Counter In A Small Town', 'Got Some', ""My Father's Son"", 'Eruption', 'Even Flow', 'Sirens', 'Daughter', ""It's Ok"", 'Given To Fly', 'World Wide Suicide', 'Once', 'Red Mosquito', 'Better Man', 'Save it for Later', 'Throw Your Arms Around Me', 'Mother', 'Jeremy', 'Lukin', 'Porch', 'Alive', 'Kick Out The Jams', ""Baba O'Riley"", 'Yellow Ledbetter', 'Little Wing']"
948,"February 2, 2014"," Perth, AU",Arena Joondalup,"['Go', 'Do The Evolution', 'Last Exit', 'Animal', 'Mind Your Manners', 'Interstellar Overdrive', 'Corduroy', 'Lightning Bolt', 'Elderly Woman Behind The Counter In A Small Town', 'Faithfull', 'Even Flow', 'Deep', 'Unthought Known', 'Sirens', 'Getaway', 'Jeremy', 'Lukin', ""Satan's Bed"", 'Rearviewmirror', 'Throw Your Arms Around Me', 'Happy Birthday', 'Crazy Mary', 'Comatose', 'Given To Fly', 'Black', 'Porch', ""Rockin' In The Free World""]"
949,"June 16, 2014"," Amsterdam, NL",Ziggo Dome,"['Pendulum', 'Nothingman', 'Breakerfall', 'Corduroy', 'All Night', 'Animal', 'Got Some', 'Mind Your Manners', 'Given To Fly', 'Who You Are', 'Lightning Bolt', 'Even Flow', 'Swallowed Whole', 'Sirens', 'Light Years', 'Evacuation', 'Wishlist', 'Porch', 'Low Light', 'Thin Air', 'Sleeping By Myself', 'Footsteps', 'Come Back', 'Jeremy', 'Better Man', 'Rearviewmirror', 'Go', 'Why Go', 'Supersonic', 'Sonic Reducer', 'Alive', 'Indifference']"
950,"June 17, 2014"," Amsterdam, NL",Ziggo Dome,"['Hard To Imagine', 'Elderly Woman Behind The Counter In A Small Town', 'Life Wasted', 'Mind Your Manners', 'Last Exit', 'Do The Evolution', 'Severed Hand', 'Getaway', 'Dissident', 'Lightning Bolt', 'Even Flow', 'Immortality', 'Marker In The Sand', 'Rain', 'Sirens', 'Let The Records Play', 'Unthought Known', 'Better Man', 'Save it for Later', 'Just Breathe', 'All Or None', 'Mother', 'Daughter', 'Another Brick In The Wall (Part 2)', ""Don't Take Your Guns To Town"", ""My Father's Son"", 'State Of Love And Trust', 'Alive', 'Black', 'Blood', 'Atomic Dog', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
951,"June 20, 2014"," Milan, IT",San Siro Stadium,"['Porch', 'Release', 'Nothingman', 'Sirens', 'Black', 'Go', 'Do The Evolution', 'Corduroy', 'Lightning Bolt', 'Mind Your Manners', 'Pilate', 'Untitled', 'MFC', 'Given To Fly', 'Who You Are', 'Sad', 'Even Flow', 'Swallowed Whole', 'Setting Forth', 'Not For You', 'Why Go', 'Rearviewmirror', 'Yellow Moon', 'Elderly Woman Behind The Counter In A Small Town', 'Thin Air', 'Just Breathe', 'Daughter', ""It's Ok"", 'W.M.A.', 'Let It Go', 'Jeremy', 'Happy Birthday', 'Better Man', 'Save it for Later', 'Spin The Black Circle', 'Lukin', 'Porch', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
952,"June 22, 2014"," Trieste, IT",Nereo Rocco Stadium,"['Elderly Woman Behind The Counter In A Small Town', 'Low Light', 'Black', 'Sirens', 'Why Go', 'Animal', 'Corduroy', 'Getaway', 'Got Some', 'Given To Fly', 'Leatherman', 'Lightning Bolt', 'Mind Your Manners', 'Deep', 'Come Back', 'Even Flow', 'Down', 'Unthought Known', 'Infallible', 'Whipping', 'Do The Evolution', 'Rearviewmirror', 'Let Me Sleep', 'Chloe Dancer', 'Crown Of Thorns', 'Jeremy', 'State Of Love And Trust', 'Wasted Reprise', 'Life Wasted', 'Porch', 'Better Man', 'Once', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
953,"June 25, 2014"," Vienna, AT",Stadthalle,"['Long Road', ""Can't Keep"", 'Black', 'Last Exit', 'Why Go', 'Spin The Black Circle', 'Hail, Hail', 'Got Some', 'Lightning Bolt', 'Mind Your Manners', 'Severed Hand', 'I Got Shit', 'Amongst The Waves', 'Rain', 'Even Flow', 'Sirens', 'Wishlist', 'Rats', 'Public Image', 'Do The Evolution', 'Rearviewmirror', 'The Needle and The Damage Done', 'Speed of Sound', 'Footsteps', 'Elderly Woman Behind The Counter In A Small Town', 'Daughter', 'Atomic Dog', 'State Of Love And Trust', 'Brain Of J.', 'Lukin', 'Porch', 'Smile', ""Fuckin' Up"", 'Alive', ""Baba O'Riley"", 'Indifference']"
954,"June 26, 2014"," Berlin, DEU",Kindl-Bühne Wuhlheide,"['Pendulum', 'Low Light', 'Nothingman', 'In My Tree', 'Go', 'Why Go', 'Do The Evolution', 'Corduroy', 'Lightning Bolt', 'Mind Your Manners', ""Gods' Dice"", 'Hold On', 'Given To Fly', 'You Are', 'Who You Are', 'Even Flow', 'Let It Go', 'Sirens', 'Jeremy', 'Immortality', 'Eruption', 'Lukin', 'Rearviewmirror', 'Sleight Of Hand', 'Sleeping By Myself', 'All Those Yesterdays', 'Crazy Mary', 'Paint It Black', 'Comatose', 'Blood', 'Porch', 'Bee Girl', 'I Believe In Miracles', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
955,"June 28, 2014"," Stockholm, SE",Friends Arena,"['Release', 'Sometimes', 'Elderly Woman Behind The Counter In A Small Town', 'Black', 'Go', 'Animal', 'Mind Your Manners', 'Why Go', 'Corduroy', 'Lightning Bolt', 'Red Mosquito', ""My Father's Son"", 'Given To Fly', 'Daughter', 'W.M.A.', 'U', 'Sirens', 'Even Flow', 'Green Disease', 'Jeremy', 'Spin The Black Circle', 'Rearviewmirror', 'Just Breathe', 'Oceans', 'Mother', 'Once', 'Supersonic', 'Sonic Reducer', 'Porch', 'Do The Evolution', 'Better Man', 'Save it for Later', 'Alive', ""Baba O'Riley"", 'Indifference']"
956,"June 29, 2014"," Oslo, NOR",Telenor Arena,"['Pendulum', 'Hard To Imagine', 'Last Kiss', 'Mind Your Manners', 'Animal', 'Last Exit', 'Interstellar Overdrive', 'Corduroy', 'Lightning Bolt', 'In Hiding', ""My Father's Son"", 'Sad', 'Light Years', 'Garden', 'Even Flow', 'Sirens', 'Not For You', 'Modern Girl', 'Down', 'Love Boat Captain', 'Porch', 'Yellow Moon', 'Sleeping By Myself', 'Strangest Tribe', 'Footsteps', 'Waiting on a Friend', ""Satan's Bed"", 'Why Go', 'Lukin', 'Rearviewmirror', 'Comatose', 'Leash', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
957,"July 3, 2014"," Gdynia, PL",Open'er Festival,"['Go', 'Corduroy', 'Mind Your Manners', 'Lightning Bolt', 'Animal', 'Given To Fly', 'Pilate', 'Do The Evolution', 'Getaway', 'Got Some', 'Nothingman', 'Even Flow', 'Sirens', 'Jeremy', 'Unthought Known', 'Public Image', 'Lukin', 'Rearviewmirror', 'Elderly Woman Behind The Counter In A Small Town', 'Better Man', 'Save it for Later', 'Porch', 'Alive', ""Baba O'Riley""]"
958,"July 5, 2014"," Werchter, BE",Rock Werchter Festival,"['Rearviewmirror', 'Mind Your Manners', 'Animal', 'Corduroy', 'Lightning Bolt', ""My Father's Son"", 'Do The Evolution', 'Given To Fly', 'All Night', 'Even Flow', 'Sirens', 'Elderly Woman Behind The Counter In A Small Town', 'Why Go', 'Spin The Black Circle', 'Wasted Reprise', 'Life Wasted', 'Better Man', 'Save it for Later', 'Future Days', 'Mother', 'Jeremy', 'State Of Love And Trust', 'Black', 'Daughter', 'W.M.A.', 'Where Is My Mind', 'Porch', 'Sonic Reducer', 'Alive', ""Rockin' In The Free World"", 'Angie', 'Yellow Ledbetter', 'Little Wing']"
959,"July 8, 2014"," Leeds, UK",First Direct Arena,"['Pendulum', 'Of The Girl', 'Elderly Woman Behind The Counter In A Small Town', 'Breakerfall', 'Hail, Hail', 'Once', 'Mind Your Manners', 'Lightning Bolt', 'Tremor Christ', 'Wishlist', 'Who You Are', 'Ghost', 'Even Flow', 'Sirens', 'Push Me, Pull Me', 'Do The Evolution', ""Don't Gimme No Lip"", 'Army Reserve', 'Present Tense', 'Given To Fly', 'Setting Forth', 'Rearviewmirror', 'Man Of The Hour', 'All Or None', 'Fatal', 'The Real Me', 'Porch', 'Smile', 'Leaving Here', 'Black', 'Jeremy', 'State Of Love And Trust', 'Alive', ""Baba O'Riley"", 'All Along The Watchtower', 'Indifference']"
960,"July 11, 2014"," Milton Keynes, UK",Milton Keynes Bowl,"['Porch', 'Pendulum', 'Wash', 'Nothingman', 'Black', 'Go', 'Brain Of J.', 'Comatose', 'Save You', 'Hail, Hail', 'Mind Your Manners', 'Do The Evolution', 'Got Some', 'Lightning Bolt', 'Nothing As it Seems', 'Given To Fly', 'Sirens', 'Corduroy', 'Even Flow', 'Let The Records Play', 'Spin The Black Circle', 'Rearviewmirror', 'Yellow Moon', ""I'm the Answer"", 'Footsteps', 'Chloe Dancer', 'Crown Of Thorns', 'Believe You Me', 'Better Man', 'Save it for Later', 'Jeremy', 'Lukin', 'Porch', 'Rain', 'Daughter', 'War', 'Blood', 'Alive', ""Rockin' In The Free World""]"
961,"October 1, 2014"," Cincinnati, OH",US Bank Arena,"['Pendulum', 'Nothingman', 'Of The Girl', 'Mind Your Manners', 'Lightning Bolt', 'Corduroy', 'Spin The Black Circle', 'Got Some', 'Even Flow', 'Sirens', 'Jumpin Jack Flash', 'Love Boat Captain', 'Present Tense', 'Daughter', 'Another Brick In The Wall (Part 2)', 'Keep It in Motion', 'State Of Love And Trust', 'Waiting on a Friend', 'Jeremy', 'Comatose', 'Setting Forth', 'Porch', 'Sleeping By Myself', 'Man Of The Hour', 'Parachutes', 'All Those Yesterdays', 'Elderly Woman Behind The Counter In A Small Town', 'Given To Fly', 'Unthought Known', 'Do The Evolution', 'Better Man', 'Save it for Later', 'Black', 'The Real Me', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter', 'Star-Spangled Banner']"
962,"October 3, 2014"," St. Louis, MO",Scottrade Center,"['Pendulum', 'Low Light', 'Elderly Woman Behind The Counter In A Small Town', 'Go', 'Do The Evolution', 'Mind Your Manners', ""My Father's Son"", 'Corduroy', 'Lightning Bolt', 'Pilate', 'Even Flow', 'Swallowed Whole', 'Why Go', 'Not For You', 'Modern Girl', 'Daughter', 'W.M.A.', 'Jeremy', 'Lukin', 'Rearviewmirror', 'Imagine', 'Just Breathe', 'Thin Air', 'Footsteps', 'Last Kiss', 'Once', 'Down', 'Chloe Dancer', 'Crown Of Thorns', 'Porch', 'Given To Fly', 'Setting Forth', 'Better Man', 'Save it for Later', 'Alive', ""Baba O'Riley""]"
963,"October 5, 2014"," Austin, TX",Austin City Limits Music Fest,"['Long Road', 'Go', 'Why Go', 'Do The Evolution', 'Mind Your Manners', 'Save You', 'Corduroy', 'Lightning Bolt', 'Faithfull', 'Love Boat Captain', ""My Father's Son"", 'Got Some', 'Even Flow', 'Sirens', 'Red Mosquito', 'Daughter', 'Alex Chilton', 'Atomic Dog', 'Rearviewmirror', 'Elderly Woman Behind The Counter In A Small Town', 'Imagine', 'Come Back', 'State Of Love And Trust', 'Lukin', 'Porch', 'Alive', ""Rockin' In The Free World""]"
964,"October 8, 2014"," Tulsa, OK",BOK Center,"['Pendulum', 'Hard To Imagine', 'Elderly Woman Behind The Counter In A Small Town', 'Breakerfall', 'Last Exit', 'Animal', 'Mind Your Manners', 'In My Tree', 'Lightning Bolt', 'Dissident', 'Marker In The Sand', 'Even Flow', 'Sirens', 'Given To Fly', 'Jeremy', 'Let The Records Play', 'Spin The Black Circle', 'Rearviewmirror', 'Just Breathe', 'Black', 'Crazy Mary', 'I Believe In Miracles', 'Blood', 'Atomic Dog', 'Porch', 'Do The Evolution', 'Better Man', 'Save it for Later', 'Alive', ""Baba O'Riley"", 'Indifference']"
965,"October 9, 2014"," Lincoln, NE",Pinnacle Bank Arena,"['Pendulum', 'Sometimes', 'Nothingman', 'Go', 'Why Go', 'Getaway', 'Corduroy', 'Light Years', 'Mind Your Manners', 'Sirens', 'Present Tense', 'Eruption', 'Even Flow', 'Infallible', 'Do The Evolution', ""Gods' Dice"", 'Insignificance', '1/2 Full', 'Better Man', 'Save it for Later', 'Porch', ""You've Got To Hide Your Love Away"", 'Imagine', 'Elderly Woman Behind The Counter In A Small Town', 'Given To Fly', 'Lightning Bolt', 'Jeremy', 'Black', 'Rearviewmirror', 'Smile', 'Open All Night', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
966,"October 12, 2014"," Austin, TX",Austin City Limits Music Fest,"['Elderly Woman Behind The Counter In A Small Town', 'Interstellar Overdrive', 'Corduroy', 'Mind Your Manners', 'Given To Fly', 'Lightning Bolt', 'Immortality', 'Severed Hand', 'Daughter', 'Mother', 'Even Flow', 'Sirens', 'Do The Evolution', 'You Are', 'Unthought Known', 'Down', 'Jeremy', 'Yellow Moon', 'Black', 'Lukin', 'Porch', 'Better Man', 'Alive', ""Baba O'Riley"", 'Yellow Ledbetter', 'Star-Spangled Banner']"
967,"October 14, 2014"," Memphis, TN",FedEx Forum,"['Pendulum', 'Wash', 'Low Light', 'Why Go', 'All Night', 'Mind Your Manners', 'Even Flow', 'Improv', 'Lightning Bolt', 'Sirens', '1/2 Full', 'Garden', 'Alone', 'Wishlist', 'Given To Fly', 'Let The Records Play', 'Spin The Black Circle', 'Black', 'Rearviewmirror', 'Nothing As it Seems', 'Come Back', 'Elderly Woman Behind The Counter In A Small Town', 'Do The Evolution', 'Breath', 'Porch', 'Once', 'Crazy Mary', 'Paint It Black', 'Better Man', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
968,"October 16, 2014"," Detroit, MI",Joe Louis Arena,"['Release', 'Oceans', 'Nothingman', 'Go', 'Mind Your Manners', 'I Wanna Be Your Dog', 'Corduroy', 'Lightning Bolt', 'Amongst The Waves', 'Even Flow', 'Light Years', 'Got Some', 'Dissident', 'Black Red Yellow', 'Stranglehold', 'Lukin', 'Not For You', 'Once', 'Rearviewmirror', 'Man Of The Hour', 'Imagine', 'Last Kiss', 'Comatose', 'State Of Love And Trust', 'Black', 'Better Man', 'Save it for Later', 'Do The Evolution', 'Wasted Reprise', 'Life Wasted', 'Detroit Rock City', 'Spin The Black Circle', 'Alive', 'Kick Out The Jams', ""Baba O'Riley"", 'Indifference']"
969,"October 17, 2014"," Moline, IL",iWireless Center,"['Elderly Woman Behind The Counter In A Small Town', 'Sometimes', 'Hail, Hail', 'Who You Are', 'In My Tree', 'Smile', 'Off He Goes', 'Habit', 'Red Mosquito', 'Lukin', 'Present Tense', 'Mankind', ""I'm Open"", 'Around The Bend', 'Given To Fly', 'Interstellar Overdrive', 'Corduroy', 'Mind Your Manners', 'Brain Of J.', 'Infallible', 'Even Flow', 'Gone', 'Garden', 'Porch', 'Moline', 'Bee Girl', 'Imagine', 'In Hiding', 'Lightning Bolt', 'Do The Evolution', 'Jeremy', 'Why Go', 'Eruption', 'Alive', ""Fuckin' Up"", 'Yellow Ledbetter']"
970,"October 19, 2014"," St. Paul, MN",Xcel Energy Center,"['Pendulum', 'Release', 'Nothingman', 'Go', 'Life Wasted', 'Corduroy', 'Lightning Bolt', 'Mind Your Manners', 'Save You', 'Even Flow', 'Sirens', 'Jumpin Jack Flash', 'Love Boat Captain', 'Daughter', 'I Got Shit', 'The Fixer', 'Unthought Known', 'Given To Fly', 'Rearviewmirror', 'Elderly Woman Behind The Counter In A Small Town', 'Thin Air', 'Footsteps', 'Imagine', 'Last Kiss', 'Why Go', 'Do The Evolution', 'Porch', 'Black', 'Alive', 'Setting Forth', 'Better Man', 'Save it for Later', 'Alive', ""Rockin' In The Free World"", 'Indifference']"
971,"October 20, 2014"," Milwaukee, WI",BMO Harris Bradley Center,"['Pendulum', 'Mind Your Manners', 'Corduroy', 'Lightning Bolt', ""Baba O'Riley"", 'Brain Of J.', 'Faithfull', 'No Way', 'Given To Fly', 'Wishlist', 'Pilate', 'Do The Evolution', 'MFC', 'Low Light', 'In Hiding', 'Push Me, Pull Me', 'All Those Yesterdays', 'Even Flow', 'Sirens', 'Rats', 'Setting Forth', 'Rearviewmirror', 'Sleeping By Myself', 'Just Breathe', 'Happy Birthday', ""I Won't Back Down"", 'Elderly Woman Behind The Counter In A Small Town', 'Got Some', 'Jeremy', 'Lukin', 'Porch', 'Crazy Mary', 'Paint It Black', 'Black', 'Alive', ""Fuckin' Up"", 'Yellow Ledbetter', 'Star-Spangled Banner']"
972,"October 22, 2014"," Denver, CO",Pepsi Center,"['Release', 'Low Light', 'Elderly Woman Behind The Counter In A Small Town', 'Last Exit', 'Why Go', 'Lightning Bolt', 'Mind Your Manners', 'Setting Forth', 'Leatherman', ""My Father's Son"", 'Even Flow', 'Ghost', 'Present Tense', 'Do The Evolution', 'Eruption', 'Of The Earth', 'Given To Fly', 'Sirens', ""Don't Gimme No Lip"", 'Lukin', 'Porch', 'Future Days', 'Sleight Of Hand', 'Imagine', 'Mother', 'Last Kiss', 'Breath', 'Leash', 'Rearviewmirror', 'Once', 'Black', 'State Of Love And Trust', 'Better Man', 'Save it for Later', 'Wasted Reprise', 'Life Wasted', 'Alive', ""Baba O'Riley"", 'Yellow Ledbetter', 'Star-Spangled Banner']"
973,"October 25, 2014"," Mountain View, CA",Shoreline Ampitheater,"['Elderly Woman Behind The Counter In A Small Town', 'Rain', 'Sleeping By Myself', 'Daughter', 'Given To Fly', 'Last Kiss', ""Fuckin' Up"", 'Hunger Strike']"
974,"October 26, 2014"," Mountain View, CA",Shoreline Ampitheater,"['Better Man', 'Elderly Woman Behind The Counter In A Small Town', 'The Kids Are Alright', 'Sirens', 'Black', 'Just Breathe', 'Hunger Strike', 'Throw Your Hatred Down']"
975,"September 23, 2015"," New York, NY",Ed Sullivan Theater,"['Mind Your Manners', ""Rockin' In The Free World""]"
976,"September 26, 2015"," New York, NY",Central Park,"['Mind Your Manners', 'Do The Evolution', 'Given To Fly', 'Elderly Woman Behind The Counter In A Small Town', 'Lightning Bolt', 'Daughter', 'Blitzkrieg Bop', 'Unthought Known', 'Better Man', 'Alive', 'Imagine', 'Redemption Song', ""Rockin' In The Free World""]"
977,"November 4, 2015"," Santiago, CL",Estadio Nacional,"['Pendulum', 'Release', 'Nothingman', 'Go', 'Mind Your Manners', 'Corduroy', 'Lightning Bolt', 'Even Flow', 'Sirens', 'Light Years', 'Severed Hand', 'Daughter', 'Given To Fly', 'Got Some', 'In Hiding', 'Rearviewmirror', 'Just Breathe', 'Mother', 'Imagine', 'Black', '40', 'Why Go', 'Do The Evolution', 'Porch', 'State Of Love And Trust', 'Better Man', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
978,"November 7, 2015"," Buenos Aires, ARG",Estadio Unico La Plata,"['Pendulum', 'Low Light', 'Elderly Woman Behind The Counter In A Small Town', 'Mind Your Manners', 'Do The Evolution', 'All Night', 'Once', 'Dissident', 'Lightning Bolt', 'Given To Fly', 'Swallowed Whole', 'Even Flow', 'Sirens', 'Grievance', 'Daughter', 'Blitzkrieg Bop', 'W.M.A.', 'Unthought Known', 'Immortality', 'Life Wasted', 'Rearviewmirror', 'Footsteps', 'Imagine', 'Corduroy', 'I Believe In Miracles', 'Jeremy', 'Porch', 'Leaving Here', 'Better Man', 'Save it for Later', 'Red Mosquito', 'Black', 'Blood', 'Atomic Dog', 'Alive', ""Baba O'Riley"", 'Indifference']"
979,"November 11, 2015"," Porto Alegre, BR",Arena do Gremio,"['Pendulum', 'Release', 'Elderly Woman Behind The Counter In A Small Town', 'Mind Your Manners', 'Animal', 'Do The Evolution', 'Interstellar Overdrive', 'Corduroy', 'Lightning Bolt', 'Faithfull', 'Even Flow', 'I Got Shit', 'Lukin', 'Not For You', 'Modern Girl', 'Sirens', 'Let The Records Play', 'Spin The Black Circle', 'Rearviewmirror', 'Last Kiss', 'Hard To Imagine', 'Wishlist', 'Jeremy', 'Glorified G', 'Better Man', 'Save it for Later', 'Go', 'Porch', 'Comfortably Numb', 'Why Go', 'Given To Fly', 'Black', 'Alive', ""Fuckin' Up"", 'Yellow Ledbetter']"
980,"November 14, 2015"," Sao Paulo, BR",Estadio do Morumbi,"['Long Road', 'Of The Girl', 'Love Boat Captain', 'Do The Evolution', 'Hail, Hail', 'Why Go', 'Getaway', 'Mind Your Manners', 'Deep', 'Corduroy', 'Lightning Bolt', 'Elderly Woman Behind The Counter In A Small Town', 'Even Flow', 'Come Back', 'Swallowed Whole', 'Given To Fly', 'Jeremy', 'Better Man', 'Save it for Later', 'Rearviewmirror', 'Footsteps', 'Imagine', 'Sirens', 'Whipping', 'I Am Mine', 'Blood', 'Porch', 'Comatose', 'State Of Love And Trust', 'Black', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter', 'All Along The Watchtower']"
981,"November 17, 2015"," Brasilia, BR",Estadio Nacional Mane Garrincha,"['Release', 'Wash', 'Nothingman', 'Corduroy', 'Lightning Bolt', 'Mind Your Manners', 'Brain Of J.', 'Tremor Christ', 'In My Tree', 'Even Flow', 'Rain', 'Unthought Known', ""My Father's Son"", 'Animal', 'Daughter', 'Another Brick In The Wall (Part 2)', 'Habit', 'Given To Fly', 'Lukin', 'Rearviewmirror', 'Redemption Song', 'Mother', 'Sirens', 'Jeremy', 'Supersonic', 'Why Go', 'Leash', 'Porch', 'Last Exit', 'Elderly Woman Behind The Counter In A Small Town', 'Better Man', 'Do The Evolution', 'Crazy Mary', 'Paint It Black', 'Alive', ""Baba O'Riley"", 'Indifference']"
982,"November 20, 2015"," Belo Horizonte, BR",Estadio Mineirao,"['Rain', 'Sometimes', 'Elderly Woman Behind The Counter In A Small Town', 'Go', 'Mind Your Manners', 'Once', 'Got Some', 'Rearviewmirror', 'Pilate', 'Even Flow', 'Infallible', 'Given To Fly', ""I'm Open"", 'I Am Mine', ""Satan's Bed"", 'Deep', 'Jeremy', 'Why Go', 'Bee Girl', 'Sleeping By Myself', 'Imagine', 'Sirens', 'Do The Evolution', 'I Want You So Hard (Boys Bad News)', 'Corduroy', 'Mankind', 'Porch', 'Eruption', 'Garden', 'Comfortably Numb', 'Lightning Bolt', 'Black', 'Sonic Reducer', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter', 'Little Wing']"
983,"November 22, 2015"," Rio de Janeiro, BR",Estadio Maracana,"['Oceans', 'Present Tense', 'Corduroy', 'Hail, Hail', 'Mind Your Manners', 'Do The Evolution', 'Amongst The Waves', 'Save You', 'Even Flow', 'Who You Are', 'Not For You', 'Modern Girl', 'Setting Forth', 'Sirens', 'Given To Fly', 'I Want You So Hard (Boys Bad News)', 'Comatose', 'Comatose', 'Lukin', 'Rearviewmirror', 'Yellow Moon', 'Elderly Woman Behind The Counter In A Small Town', 'Just Breathe', 'Imagine', 'Jeremy', 'Why Go', 'The Fixer', 'Porch', 'Last Kiss', 'Comfortably Numb', 'Spin The Black Circle', 'Black', 'Better Man', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
984,"November 25, 2015"," Bogota, COL",Simón Bolívar Park,"['Pendulum', 'Elderly Woman Behind The Counter In A Small Town', 'Mind Your Manners', 'Do The Evolution', 'Animal', 'Low Light', 'Corduroy', 'I Am Mine', 'Ghost', 'Wishlist', 'Even Flow', 'Daughter', 'W.M.A.', 'Deep', 'Jeremy', 'A Sort Of Homecoming', 'MFC', 'Life Wasted', 'Given To Fly', 'Rearviewmirror', 'Around The Bend', 'Footsteps', 'Mother', 'State Of Love And Trust', 'Unthought Known', 'Better Man', 'Porch', 'Black', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
985,"November 28, 2015"," Mexico City, MX",Foro Sol,"['Pendulum', 'Release', 'Elderly Woman Behind The Counter In A Small Town', 'Why Go', 'Mind Your Manners', 'Do The Evolution', 'Breakerfall', 'Corduroy', 'Garden', 'Even Flow', 'Daughter', ""It's Ok"", 'I Want You So Hard (Boys Bad News)', 'Sirens', 'Given To Fly', 'You Are', 'Lightning Bolt', 'Rearviewmirror', 'Throw Your Arms Around Me', 'Sleeping By Myself', 'Imagine', 'Comfortably Numb', 'Animal', 'Save You', 'Faithfull', 'Black', 'Porch', 'Last Kiss', 'Jeremy', 'Las Mananitas', 'Better Man', 'Save it for Later', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
986,"April 8, 2016"," Fort Lauderdale, FL",BB&T; Center,"['Go', 'Mind Your Manners', 'Corduroy', 'Given To Fly', 'Help Help', 'Deep', 'Nothingman', 'Elderly Woman Behind The Counter In A Small Town', 'Severed Hand', 'Unthought Known', 'Sirens', 'Happy Birthday', 'Surrender', 'Even Flow', 'Amongst The Waves', 'I Am Mine', 'Swallowed Whole', 'Who You Are', 'Do The Evolution', 'Why Go', 'Yellow Moon', 'Footsteps', 'Last Kiss', 'Black', 'Comatose', 'Lightning Bolt', 'Porch', 'Light Years', 'Better Man', 'Alive', ""Baba O'Riley"", 'I Am A Patriot', 'Indifference']"
