Show #,date,location,venue,setlist
101,"December 11, 1991"," Dallas, TX",Trees,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Garden', 'Deep', 'Black', 'Jeremy', 'Why Go', 'Porch', 'Breath', ""I've Got a Feeling""]"
102,"December 12, 1991"," Norman, OK",Hollywood Theater,['No setlist information available...']
103,"December 14, 1991"," Denver, CO",Denver Coliseum,"['Even Flow', 'Why Go', 'Once', 'Alive', 'Jeremy', 'Leash', 'Porch']"
104,"December 15, 1991"," Salt Lake City, UT",Club DV8,"['Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'Deep', 'Garden', 'Blitzkrieg Bop', 'Smells Like Teen Spirit', 'Jeremy', 'Outshined', 'Leash', 'Why Go', 'Porch', 'Suggestion']"
105,"December 27, 1991"," Los Angeles, CA",Sports Arena,"['Wash', 'Once', 'Even Flow', 'Alive', 'Why Go', 'Leash', 'Porch']"
106,"December 28, 1991"," San Diego, CA",Del Mar Pavilion,"['Once', 'Even Flow', 'Why Go', 'Jeremy', 'Alive', 'Leash', 'Porch']"
107,"December 29, 1991"," Tempe, AZ",Arizona State University Center,"['Wash', 'Once', 'Even Flow', 'Alive', 'Jeremy', 'Why Go', 'Porch']"
108,"December 31, 1991"," Daly City, CA",Cow Palace,"['Once', 'Waiting Room', 'Even Flow', 'Why Go', 'Suggestion', 'Jeremy', 'Alive', 'Leash', 'Smells Like Teen Spirit', 'Porch']"
109,"January 2, 1992"," Salem, OR",Salem University,['No setlist information available...']
110,"January 3, 1992"," Seattle, WA",RKCNDY,"['Once', 'State Of Love And Trust', 'Even Flow', 'Garden', 'Alive', 'Black', 'Deep', 'Why Go', 'Porch', 'Breath']"
111,"January 17, 1992"," Seattle, WA",Moore Theatre,"['Release', 'Even Flow', 'Once', 'State Of Love And Trust', 'Alive', 'Black', 'Why Go', 'Deep', 'Jeremy', 'Porch', 'Outshined', 'Leash', 'Breath', 'War Pigs', ""Baba O'Riley""]"
112,"January 24, 1992"," Hollywood, CA",Palladium,['No setlist information available...']
113,"February 3, 1992"," Southend, UK",The Esplanade Club,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'Why Go', 'Jeremy', 'Outshined', 'Leash', 'Jam', 'Porch', 'Release', 'Breath']"
114,"February 4, 1992"," London, UK",Borderline,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'Why Go', 'Deep', 'Jeremy', 'Porch', 'Leash', 'Breath']"
115,"February 7, 1992"," Stockholm, SE",Koolkat Club,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Suggestion', 'Alive', 'Black', 'Deep', 'Jeremy', 'Why Go', 'Porch', 'Improv', 'Atomic Dog', 'Garden', 'Outshined', 'Leash']"
116,"February 8, 1992"," Oslo, NOR",Alaska,['No setlist information available...']
117,"February 9, 1992"," Copenhagen, DK",Pumpe Huset,"['Wash', 'Once', 'Even Flow', 'Suggestion', 'State Of Love And Trust', 'Alive', 'Black', 'Alone', 'Jeremy', 'Why Go', 'Porch', 'Hunger Strike', 'Oceans', 'Window Paine', 'Breath', 'Outshined', 'Leash']"
118,"February 10, 1992"," Paris, FR",Virgin Records,"['Wash', 'Alive', 'Black', 'Porch']"
119,"February 11, 1992"," Paris, FR",Locomotive,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'Deep', 'Jeremy', 'Why Go', 'Porch', 'Suggestion', 'Breath', ""I've Got a Feeling""]"
120,"February 12, 1992"," Amsterdam, NL",Melkweg,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'We Belong Together', 'Deep', 'Jeremy', 'Why Go', 'Porch', ""I've Got a Feeling""]"
121,"February 15, 1992"," Madrid, ES",Revolver,"['Wash', 'Even Flow', 'Once', 'Alive', 'Yellow Ledbetter', 'Black']"
122,"February 18, 1992"," Milan, IT",Sorpasso,"['Release', 'Even Flow', 'Once', 'State Of Love And Trust', 'Alive', 'Black', 'Deep', 'Why Go', 'Porch', 'Jam', 'Jeremy', 'Breath', ""I've Got a Feeling"", 'Hunger Strike', 'Leash']"
123,"February 19, 1992"," Winterthur, CH",Albani Bar of Music,['No setlist information available...']
124,"February 21, 1992"," Manchester, UK",International II,['No setlist information available...']
125,"February 22, 1992"," Newcastle, UK",Riverside,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Hunger Strike', 'Black', 'We Belong Together', 'State Of Love And Trust', 'Once', 'Porch', 'My Generation', 'Window Paine', 'Garden', 'Leash']"
126,"February 23, 1992"," Glasgow, UK",Cathouse,"['Release', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'State Of Love And Trust', 'Once', 'Porch']"
127,"February 25, 1992"," Nottingham, UK",Rock City,"['Wash', 'Once', 'Outshined', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'Improv', 'Deep', 'Jeremy', 'Why Go', 'Hunger Strike', 'Porch', 'Garden', 'Improv', 'Leash']"
128,"February 26, 1992"," Birmingham, UK",Edward's No. 8,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Improv', 'Black', 'State Of Love And Trust', 'Once', 'Porch', 'Garden', 'Leash']"
129,"February 27, 1992"," Bradford, UK",Queenshall,"['Wash', 'Once', 'Even Flow', 'Alone', 'Alive', 'Black', 'Deep', 'Jeremy', 'Why Go', 'Porch', 'Jam', 'Leash', ""I've Got a Feeling"", 'My Generation']"
130,"February 28, 1992"," London, UK",Union of London University,"['Wash', 'Once', 'Even Flow', 'All Right Now', 'Alone', 'Alive', 'Black', 'Deep', 'Jeremy', 'Why Go', 'Porch', 'Improv', 'Leash', ""I've Got a Feeling""]"
131,"March 1, 1992"," Groningen, NL",Vera,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'State Of Love And Trust', 'Once', 'Porch', 'Leash', 'Improv', 'Improv', ""I've Got a Feeling"", 'Jam']"
132,"March 2, 1992"," Den Haag, NL",Paard,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'Saying No', 'Suggestion', 'Alone', 'Once', 'Porch', 'Garden', 'Leash', ""I've Got a Feeling""]"
133,"March 4, 1992"," Utrecht, NL",Tivoli,"['Release', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Alive', 'Black', 'State Of Love And Trust', 'Once', 'Jam', 'Porch', 'Jam', 'Alone', 'Outshined', 'Leash', 'Hunger Strike', 'Garden', 'Jam']"
134,"March 5, 1992"," Eindhoven, NL",Effenaar,"['Release', 'Even Flow', 'Why Go', 'Jeremy', 'Leash', 'Alive', 'Black', 'State Of Love And Trust', 'Once', 'Porch', 'Suggestion', 'Deep', 'Garden']"
135,"March 6, 1992"," Rotterdam, NL",Nighttown,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'Deep', 'Jeremy', 'Why Go', 'Porch', 'Straight to Hell', 'Garden', 'Leash', 'Improv', ""I've Got a Feeling""]"
136,"March 8, 1992"," Cologne, DEU",Live Music Hall,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'We Belong Together', 'Deep', 'Jeremy', 'Jam', 'Why Go', 'Porch', 'Improv', 'Garden', 'Outshined', 'Leash']"
137,"March 9, 1992"," Berlin, DEU",The Loft,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Black', 'Deep', 'Jeremy', 'Why Go', ""Rockin' In The Free World"", 'Jam', 'Dirty Frank', 'Porch', 'Garden', 'Leash']"
138,"March 10, 1992"," Hamburg, DEU",Markthalle,"['Release', 'Even Flow', 'Why Go', 'Jeremy', 'Deep', 'Improv', 'Alive', 'Black', 'We Belong Together', 'State Of Love And Trust', ""Improv (I'm Not Crazy)"", 'Once', ""Rockin' In The Free World"", 'Porch', 'Suggestion', 'Garden', 'Leash', ""I've Got a Feeling""]"
139,"March 12, 1992"," Frankfurt, DEU",Batschkaap,"['Oceans', 'Even Flow', 'Why Go', 'Jeremy', 'Once', 'Alive', 'Black', 'Where Do The Children Play', 'State Of Love And Trust', 'Deep', ""Rockin' In The Free World"", 'Porch', 'Suggestion', 'Breath', 'Outshined', 'Leash']"
140,"March 13, 1992"," Munich, DEU",Nachtwerk,"['Once', 'Even Flow', 'Alive', 'Why Go', 'Black', 'Jeremy', 'Oceans', 'Porch', 'Garden', 'Deep', 'Release', 'Leash', 'Outshined', 'State Of Love And Trust', 'Improv', ""Rockin' In The Free World"", ""I've Got a Feeling""]"
141,"March 16, 1992"," Queens, NY",Kaufman Astoria Studios,"['Oceans', 'State Of Love And Trust', 'Alive', 'Black', 'We Belong Together', 'Jeremy', 'Porch', 'Even Flow', ""Rockin' In The Free World""]"
